coin,name,symbol,nominal_apy,inflation_rate,real_yield,source
ada,Cardano,ADA,0.02157794768527066,0.012514543518712715,0.00895138171058818,Koios
xtz,Tezos,XTZ,0.07762622767243181,0.031176393188405656,0.0450454789218,TzKT
near,NEAR Protocol,NEAR,0.055274338877409394,0.025,0.029535940368204283,NEAR public RPC (FastNear)
atom,Cosmos Hub,ATOM,0.15573664047400243,0.09999999770642208,0.05066967534890465,Cosmos Hub public REST (cosmos.directory)
